"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"EGF","CP60","F","1 Mosquito",3,65.4,3.41,"Cyno","Dengue virus"
"EGF","CP60","F","1 Mosquito",1,130.49,3.41,"Cyno","Dengue virus"
"EGF","NV259","F","Control",2,136.56,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",3,105.21,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",1,110.81,3.41,"Cyno","Dengue virus"
"EGF","BC167","F","10 Mosquitos",1,80.66,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",1,59.72,3.41,"Cyno","Dengue virus"
"EGF","NV289","M","Control",2,109.59,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",2,121.22,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",1,100.64,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",3,30.1,3.41,"Cyno","Dengue virus"
"EGF","UG171","F","Control",2,151.72,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",1,46.3,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",3,101.44,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",3,23.27,3.41,"Cyno","Dengue virus"
"EGF","NV289","M","Control",7,38.2,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",1,70.03,3.41,"Cyno","Dengue virus"
"EGF","NV259","F","Control",5,57.69,3.41,"Cyno","Dengue virus"
"EGF","SB395","F","10 Mosquitos",1,59.82,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",3,90.46,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",28,3.41,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",2,16.53,3.41,"Cyno","Dengue virus"
"EGF","UG171","F","Control",5,92.5,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",6,42.5,3.41,"Cyno","Dengue virus"
"EGF","CP60","F","1 Mosquito",28,153.01,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",5,23.61,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",2,3.41,3.41,"Cyno","Dengue virus"
"EGF","UG171","F","Control",7,66.11,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",5,141.17,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",5,66.38,3.41,"Cyno","Dengue virus"
"EGF","SB395","F","10 Mosquitos",6,109.89,3.41,"Cyno","Dengue virus"
"EGF","SB395","F","10 Mosquitos",3,122.77,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",5,77.87,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",2,81.71,3.41,"Cyno","Dengue virus"
"EGF","BC167","F","10 Mosquitos",5,59.2,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",5,29.27,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",2,71.42,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",5,59.95,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",5,22.76,3.41,"Cyno","Dengue virus"
