"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"NV259","Control",-7,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"EGF","F",116.48,3.41,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"MDC","F",1761.65,286.83,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"MIP.1B","F",64.19,32.55,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"MCP.1","F",557.81,20.12,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.4","F",38.96,38.96,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"MIP.1a","F",28.54,28.54,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IFN.g","F",28.96,14.44,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"Eotaxin","F",271.82,2.64,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.RA","F",180.4,55.74,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"HGF","F",813.52,74.94,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"G.CSF","F",117.45,113.59,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IP.10","F",4.38,4.38,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"I.TAC","F",183.96,32.66,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"TGFbeta","F",98.31,3.3,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.12","F",3090.37,112.39,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"RANTES","F",3273.03,9.09,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"TNF.alpha","F",14.2,14.2,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"MIF","F",156.22,5.06,1,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.10","F",13.57,13.57,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",-7,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",NA,NA
"NV259","Control",1,"IL.15","F",75.45,75.45,1,"Cyno","Dengue virus",4.7,1405
"NV259","Control",1,"IL.RA","F",180.96,55.74,1.00310421286031,"Cyno","Dengue virus",4.7,1405
"NV259","Control",1,"IL.5","F",6.45,6.45,NA,"Cyno","Dengue virus",4.7,1405
"NV259","Control",1,"EGF","F",129.66,3.41,1.11315247252747,"Cyno","Dengue virus",4.7,1405
