"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"BC116A","10 Mosquitos",-7,"GM.CSF","M",12.88,12.88,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.2","M",43.77,43.77,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"MIF","M",130.78,5.06,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.15","M",75.45,75.45,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.8","M",11.68,11.68,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"MIP.1a","M",28.54,28.54,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"TNF.alpha","M",14.57,14.2,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"MCP.1","M",724.03,20.12,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"EGF","M",28.12,3.41,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"HGF","M",88.33,74.94,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IFN.g","M",14.44,14.44,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.1B","M",12.04,12.04,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"VEGF","M",1.35,1.35,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.10","M",13.57,13.57,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.6","M",11.18,7.71,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"MIP.1B","M",64.86,32.55,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"TGFbeta","M",41.09,3.3,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"G.CSF","M",113.59,113.59,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"RANTES","M",4421.03,9.09,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.RA","M",203.66,55.74,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.17","M",30.96,30.96,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"Eotaxin","M",113.29,2.64,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IP.10","M",4.38,4.38,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.4","M",38.96,38.96,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"MIG","M",24.23,24.23,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.5","M",6.45,6.45,NA,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"I.TAC","M",160.18,32.66,1,"Cyno","Dengue virus",NA,NA
"BC116A","10 Mosquitos",-7,"IL.12","M",863.06,112.39,1,"Cyno","Dengue virus",NA,NA
