"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"EGF",5045,"F","15 Mosquitos",3,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4872,"F","15 Mosquitos",3,26.87,3.29,"Squirrel","Dengue virus"
"EGF",6321,"M","Control",2,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6401,"M","15 Mosquitos",28,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6363,"M","15 Mosquitos",28,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5910,"F","15 Mosquitos",2,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6552,"M","15 Mosquitos",28,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6242,"F","15 Mosquitos",2,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4516,"F","15 Mosquitos",1,51.9,3.29,"Squirrel","Dengue virus"
"EGF",6541,"M","Control",1,3.54,3.29,"Squirrel","Dengue virus"
"EGF",6314,"M","15 Mosquitos",3,545.43,3.29,"Squirrel","Dengue virus"
"EGF",6363,"M","15 Mosquitos",2,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6519,"M","15 Mosquitos",3,32.97,3.29,"Squirrel","Dengue virus"
"EGF",6541,"M","Control",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5045,"F","15 Mosquitos",1,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6401,"M","15 Mosquitos",2,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5910,"F","15 Mosquitos",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6242,"F","15 Mosquitos",28,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6552,"M","15 Mosquitos",2,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4516,"F","15 Mosquitos",3,53.06,3.29,"Squirrel","Dengue virus"
"EGF",6321,"M","Control",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4872,"F","15 Mosquitos",1,30.21,3.29,"Squirrel","Dengue virus"
"EGF",6552,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5910,"F","15 Mosquitos",28,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4516,"F","15 Mosquitos",7,28.91,3.29,"Squirrel","Dengue virus"
"EGF",6363,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6519,"M","15 Mosquitos",5,35.21,3.29,"Squirrel","Dengue virus"
"EGF",6519,"M","15 Mosquitos",7,16.35,3.29,"Squirrel","Dengue virus"
"EGF",6541,"M","Control",3,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6401,"M","15 Mosquitos",4,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6401,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6314,"M","15 Mosquitos",5,542.37,3.29,"Squirrel","Dengue virus"
"EGF",6321,"M","Control",28,14.35,3.29,"Squirrel","Dengue virus"
"EGF",6541,"M","Control",5,5.46,3.29,"Squirrel","Dengue virus"
"EGF",6242,"F","15 Mosquitos",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5045,"F","15 Mosquitos",7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6314,"M","15 Mosquitos",-7,502.98,3.29,"Squirrel","Dengue virus"
"EGF",4516,"F","15 Mosquitos",5,37.83,3.29,"Squirrel","Dengue virus"
"EGF",5045,"F","15 Mosquitos",-7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6314,"M","15 Mosquitos",1,563.69,3.29,"Squirrel","Dengue virus"
"EGF",6363,"M","15 Mosquitos",4,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4872,"F","15 Mosquitos",5,29.86,3.29,"Squirrel","Dengue virus"
"EGF",5910,"F","15 Mosquitos",4,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4872,"F","15 Mosquitos",7,26.64,3.29,"Squirrel","Dengue virus"
"EGF",6519,"M","15 Mosquitos",-7,56.1,3.29,"Squirrel","Dengue virus"
"EGF",6242,"F","15 Mosquitos",4,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6363,"M","15 Mosquitos",8,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5045,"F","15 Mosquitos",5,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6314,"M","15 Mosquitos",7,544.41,3.29,"Squirrel","Dengue virus"
"EGF",4872,"F","15 Mosquitos",-7,25.65,3.29,"Squirrel","Dengue virus"
"EGF",6321,"M","Control",4,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6519,"M","15 Mosquitos",1,42.69,3.29,"Squirrel","Dengue virus"
"EGF",6541,"M","Control",7,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6552,"M","15 Mosquitos",4,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6401,"M","15 Mosquitos",8,3.29,3.29,"Squirrel","Dengue virus"
"EGF",4516,"F","15 Mosquitos",-7,112.69,3.29,"Squirrel","Dengue virus"
"EGF",6321,"M","Control",8,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6552,"M","15 Mosquitos",8,3.29,3.29,"Squirrel","Dengue virus"
"EGF",5910,"F","15 Mosquitos",8,3.29,3.29,"Squirrel","Dengue virus"
"EGF",6242,"F","15 Mosquitos",8,3.29,3.29,"Squirrel","Dengue virus"
"Eotaxin",5045,"F","15 Mosquitos",1,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4516,"F","15 Mosquitos",1,13.59,2.39,"Squirrel","Dengue virus"
"Eotaxin",6401,"M","15 Mosquitos",2,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6519,"M","15 Mosquitos",7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4872,"F","15 Mosquitos",3,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6519,"M","15 Mosquitos",5,4.01,2.39,"Squirrel","Dengue virus"
"Eotaxin",4872,"F","15 Mosquitos",1,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6363,"M","15 Mosquitos",2,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4872,"F","15 Mosquitos",5,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6552,"M","15 Mosquitos",2,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6314,"M","15 Mosquitos",7,42.01,2.39,"Squirrel","Dengue virus"
"Eotaxin",5045,"F","15 Mosquitos",3,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6314,"M","15 Mosquitos",5,44.62,2.39,"Squirrel","Dengue virus"
"Eotaxin",6401,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4872,"F","15 Mosquitos",7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6242,"F","15 Mosquitos",4,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6519,"M","15 Mosquitos",-7,24.01,2.39,"Squirrel","Dengue virus"
"Eotaxin",4516,"F","15 Mosquitos",-7,21.38,2.39,"Squirrel","Dengue virus"
"Eotaxin",4516,"F","15 Mosquitos",7,3.45,2.39,"Squirrel","Dengue virus"
"Eotaxin",6242,"F","15 Mosquitos",2,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5045,"F","15 Mosquitos",7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6363,"M","15 Mosquitos",4,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4516,"F","15 Mosquitos",5,9.34,2.39,"Squirrel","Dengue virus"
"Eotaxin",5910,"F","15 Mosquitos",4,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5045,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6401,"M","15 Mosquitos",4,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5910,"F","15 Mosquitos",2,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6363,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6541,"M","Control",5,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5045,"F","15 Mosquitos",5,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6321,"M","Control",4,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6552,"M","15 Mosquitos",4,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6552,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5910,"F","15 Mosquitos",8,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4872,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5910,"F","15 Mosquitos",28,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6541,"M","Control",1,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6552,"M","15 Mosquitos",8,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6242,"F","15 Mosquitos",28,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6541,"M","Control",3,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6321,"M","Control",8,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6363,"M","15 Mosquitos",8,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6321,"M","Control",2,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6321,"M","Control",28,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6242,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6541,"M","Control",7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6242,"F","15 Mosquitos",8,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6541,"M","Control",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6314,"M","15 Mosquitos",1,51.27,2.39,"Squirrel","Dengue virus"
"Eotaxin",6314,"M","15 Mosquitos",3,45.4,2.39,"Squirrel","Dengue virus"
"Eotaxin",6401,"M","15 Mosquitos",28,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",5910,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",4516,"F","15 Mosquitos",3,10.22,2.39,"Squirrel","Dengue virus"
"Eotaxin",6321,"M","Control",-7,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6519,"M","15 Mosquitos",1,11.72,2.39,"Squirrel","Dengue virus"
"Eotaxin",6401,"M","15 Mosquitos",8,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6519,"M","15 Mosquitos",3,13.38,2.39,"Squirrel","Dengue virus"
"Eotaxin",6363,"M","15 Mosquitos",28,2.39,2.39,"Squirrel","Dengue virus"
"Eotaxin",6314,"M","15 Mosquitos",-7,37.51,2.39,"Squirrel","Dengue virus"
"Eotaxin",6552,"M","15 Mosquitos",28,2.39,2.39,"Squirrel","Dengue virus"
"G.CSF",6519,"M","15 Mosquitos",7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4516,"F","15 Mosquitos",7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",5045,"F","15 Mosquitos",3,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4872,"F","15 Mosquitos",7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6541,"M","Control",5,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6314,"M","15 Mosquitos",7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6552,"M","15 Mosquitos",2,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",5045,"F","15 Mosquitos",7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4516,"F","15 Mosquitos",1,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4872,"F","15 Mosquitos",3,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",5045,"F","15 Mosquitos",1,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6401,"M","15 Mosquitos",28,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6552,"M","15 Mosquitos",8,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4872,"F","15 Mosquitos",5,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6242,"F","15 Mosquitos",2,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6363,"M","15 Mosquitos",8,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6519,"M","15 Mosquitos",-7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6541,"M","Control",7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4872,"F","15 Mosquitos",1,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6363,"M","15 Mosquitos",28,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6242,"F","15 Mosquitos",8,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",5910,"F","15 Mosquitos",2,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6321,"M","Control",8,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6401,"M","15 Mosquitos",2,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4516,"F","15 Mosquitos",-7,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6401,"M","15 Mosquitos",4,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6541,"M","Control",3,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6242,"F","15 Mosquitos",4,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",6552,"M","15 Mosquitos",28,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",5910,"F","15 Mosquitos",8,113.59,113.59,"Squirrel","Dengue virus"
"G.CSF",4872,"F","15 Mosquitos",-7,113.59,113.59,"Squirrel","Dengue virus"
