"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"EGF",5013,"F","15 Mosquitos",3,54.93,3.29,"Squirrel","Zika virus"
"EGF",4806,"F","15 Mosquitos",3,133.67,3.29,"Squirrel","Zika virus"
"EGF",5080,"F","Control",2,3.29,3.29,"Squirrel","Zika virus"
"EGF",6347,"M","15 Mosquitos",28,19.43,3.29,"Squirrel","Zika virus"
"EGF",6359,"M","15 Mosquitos",28,3.29,3.29,"Squirrel","Zika virus"
"EGF",4728,"F","15 Mosquitos",2,16.83,3.29,"Squirrel","Zika virus"
"EGF",5730,"F","15 Mosquitos",28,3.29,3.29,"Squirrel","Zika virus"
"EGF",4683,"F","15 Mosquitos",2,3.29,3.29,"Squirrel","Zika virus"
"EGF",6311,"M","15 Mosquitos",1,3.29,3.29,"Squirrel","Zika virus"
"EGF",5929,"F","Control",1,3.29,3.29,"Squirrel","Zika virus"
"EGF",6550,"M","15 Mosquitos",3,3.29,3.29,"Squirrel","Zika virus"
"EGF",6359,"M","15 Mosquitos",2,3.29,3.29,"Squirrel","Zika virus"
"EGF",6518,"M","15 Mosquitos",3,16.2,3.29,"Squirrel","Zika virus"
"EGF",5929,"F","Control",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",5013,"F","15 Mosquitos",1,70.54,3.29,"Squirrel","Zika virus"
"EGF",6347,"M","15 Mosquitos",2,3.29,3.29,"Squirrel","Zika virus"
"EGF",4728,"F","15 Mosquitos",-7,6.69,3.29,"Squirrel","Zika virus"
"EGF",5730,"F","15 Mosquitos",2,3.95,3.29,"Squirrel","Zika virus"
"EGF",6311,"M","15 Mosquitos",3,13.36,3.29,"Squirrel","Zika virus"
"EGF",5080,"F","Control",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",4806,"F","15 Mosquitos",1,114.87,3.29,"Squirrel","Zika virus"
"EGF",5730,"F","15 Mosquitos",-7,32.51,3.29,"Squirrel","Zika virus"
"EGF",6311,"M","15 Mosquitos",7,44.97,3.29,"Squirrel","Zika virus"
"EGF",6359,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",6518,"M","15 Mosquitos",5,6.18,3.29,"Squirrel","Zika virus"
"EGF",6518,"M","15 Mosquitos",7,3.29,3.29,"Squirrel","Zika virus"
"EGF",5929,"F","Control",3,3.29,3.29,"Squirrel","Zika virus"
"EGF",6347,"M","15 Mosquitos",4,3.29,3.29,"Squirrel","Zika virus"
"EGF",6347,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",6550,"M","15 Mosquitos",5,3.29,3.29,"Squirrel","Zika virus"
"EGF",5080,"F","Control",28,3.29,3.29,"Squirrel","Zika virus"
"EGF",5929,"F","Control",5,3.29,3.29,"Squirrel","Zika virus"
"EGF",4683,"F","15 Mosquitos",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",5013,"F","15 Mosquitos",7,72.91,3.29,"Squirrel","Zika virus"
"EGF",6550,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",6311,"M","15 Mosquitos",5,10.44,3.29,"Squirrel","Zika virus"
"EGF",5013,"F","15 Mosquitos",-7,82.22,3.29,"Squirrel","Zika virus"
"EGF",6550,"M","15 Mosquitos",1,3.29,3.29,"Squirrel","Zika virus"
"EGF",6359,"M","15 Mosquitos",4,3.29,3.29,"Squirrel","Zika virus"
"EGF",4806,"F","15 Mosquitos",5,190.36,3.29,"Squirrel","Zika virus"
"EGF",4728,"F","15 Mosquitos",4,12.65,3.29,"Squirrel","Zika virus"
"EGF",4806,"F","15 Mosquitos",7,220.55,3.29,"Squirrel","Zika virus"
"EGF",6518,"M","15 Mosquitos",-7,3.29,3.29,"Squirrel","Zika virus"
"EGF",4683,"F","15 Mosquitos",4,3.29,3.29,"Squirrel","Zika virus"
"EGF",6359,"M","15 Mosquitos",8,3.29,3.29,"Squirrel","Zika virus"
"EGF",5013,"F","15 Mosquitos",5,60.38,3.29,"Squirrel","Zika virus"
"EGF",6550,"M","15 Mosquitos",7,3.29,3.29,"Squirrel","Zika virus"
"EGF",4806,"F","15 Mosquitos",-7,47.45,3.29,"Squirrel","Zika virus"
"EGF",5080,"F","Control",4,3.29,3.29,"Squirrel","Zika virus"
