ID	Name	Sex	Original Treatment	Final Treatment	Day Post-Infection	Date	Number of IT-injected mosquitoes that fed	Number of IT-injected mosquitoes that fed and survived to assay	Number of mosquitoes with detectable DENV-2 in collected saliva	Number  IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	% IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	Estimated titer delivered	Corrected estimated titer delivered (log10)	PRNT50	PRNT80	PRNT90	Viremia (pfu/ml)	Viremia detected after 1 passage?	Viremia deduced	Number of mosquitoes that engorged	Number of mosquitoes that engorged AND survived to titer	Number of mosquitoes with detectable body infection	Number of mosquitoes with detectable leg infection	Number of mosquitoes with positive saliva without amplification	Number of mosquitoes with positive saliva after amplification	% mosquitoes infected (body)	% mosquitoes infected (legs)	% mosquitoes infected (body, legs, or saliva)	Mean titer of infected mosquitoes (bodies)	SE of mean titer of infected mosquitoes (bodies)	Mean titer of infected mosquitoes (legs)	SE of mean titer of infected mosquitoes (legs)	Weight (g)	WBC	LYM	MON	NEU	LYM%	MON%	NEU%	RBC	HGB	HCT	MCH	MCV	MCHC	RDWc	RDWs	PLT	MPV	PCT	PDWc	PDWs	PrVW	PrVR	PrVE	WBC Lyse	Lyse2	% NK cells	Number NK cells	TGFbeta	IL-1B	G-CSF	IL-10	IL-6	IL-12	RANTES	Eotaxin	IL-17	MIP-1a	GM-CSF	MIP-1B	MCP-1	IL-15	EGF	IL-5	HGF	VEGF	IFN-g	MDC	I-TAC	MIF	IL-RA	TNF-alpha	IL-2	IP-10	MIG	IL-4	IL-8
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
6519	Bethany	M	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
4516	Bunny	F	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
5045	Neferet	F	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
4872	Molly	F	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
6401	Steve	M	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
6363	Matt	M	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
6552	Usher	M	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
6242	Kiki	F	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
5910	Alouette	F	15 Mosquitos	15 Mosquitos	-20	2021-03-16																																																																																			
6541	Vogle	M	Control	Control	-20	2021-03-16																																																																																			
6321	Rafael	M	Control	Control	-20	2021-03-16																																																																																			
6314	Casey Jones	M	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											5.2	188	1202.27	4.42	56.75	6.78	4.92	2204.71	25.09	37.51	75.16	375.34	8.66	3828.39	7502.05	4481.65	502.98	3.2	3290.52	0.48	6824.55	147.6	61.19	820.59	141.65	17.14	21.89	50.8	421.02	19.49	5.83
6519	Bethany	M	15 Mosquitos	15 Mosquitos	-7	2021-03-29								19	19	19																																											4.7	582	207.27	3.29	56.75	1.61	5.04	2646.42	19.49	24.01	15.66	230.6	6.15	641.13	3214.28	941.86	56.1	3.2	6260.63	0.48	1085.07	147.6	50.86	181.39	27.75	9.23	21.89	46.74	199.48	19.49	5.83
