"Day","date","temp","time","ID"
-7,2022-04-25,36.31,00:00:00,"EC944"
-7,2022-04-25 00:15:00,36.28,00:15:00,"EC944"
-7,2022-04-25 00:30:00,36.33,00:30:00,"EC944"
-7,2022-04-25 00:45:00,36.24,00:45:00,"EC944"
-7,2022-04-25 01:00:00,36.25,01:00:00,"EC944"
-7,2022-04-25 01:15:00,36.2,01:15:00,"EC944"
-7,2022-04-25 01:30:00,36.37,01:30:00,"EC944"
-7,2022-04-25 01:45:00,36.37,01:45:00,"EC944"
-7,2022-04-25 02:00:00,36.38,02:00:00,"EC944"
-7,2022-04-25 02:15:00,36.31,02:15:00,"EC944"
-7,2022-04-25 02:30:00,36.34,02:30:00,"EC944"
-7,2022-04-25 02:45:00,36.38,02:45:00,"EC944"
-7,2022-04-25 03:00:00,36.42,03:00:00,"EC944"
-7,2022-04-25 03:15:00,36.49,03:15:00,"EC944"
-7,2022-04-25 03:30:00,36.45,03:30:00,"EC944"
-7,2022-04-25 03:45:00,36.5,03:45:00,"EC944"
-7,2022-04-25 04:00:00,36.4,04:00:00,"EC944"
-7,2022-04-25 04:15:00,36.5,04:15:00,"EC944"
-7,2022-04-25 04:30:00,36.54,04:30:00,"EC944"
-7,2022-04-25 04:45:00,36.53,04:45:00,"EC944"
-7,2022-04-25 05:00:00,36.67,05:00:00,"EC944"
-7,2022-04-25 05:15:00,36.59,05:15:00,"EC944"
-7,2022-04-25 05:30:00,36.78,05:30:00,"EC944"
-7,2022-04-25 05:45:00,36.82,05:45:00,"EC944"
-7,2022-04-25 06:00:00,36.78,06:00:00,"EC944"
-7,2022-04-25 06:15:00,36.95,06:15:00,"EC944"
-7,2022-04-25 06:30:00,37.15,06:30:00,"EC944"
-7,2022-04-25 06:45:00,37.25,06:45:00,"EC944"
-7,2022-04-25 07:00:00,37.29,07:00:00,"EC944"
-7,2022-04-25 07:15:00,37.27,07:15:00,"EC944"
-7,2022-04-25 07:30:00,37.33,07:30:00,"EC944"
-7,2022-04-25 07:45:00,37.33,07:45:00,"EC944"
